dgp,setting,linearity_degree,N,method,n_reps,avg_n_treated_obs,surf_rmse_mean,surf_rmse_sd,surf_mae_mean,surf_mae_sd,surf_mape_mean,surf_mape_sd,surf_cover90_mean,surf_cover90_sd,surf_cover95_mean,surf_cover95_sd,surf_len90_mean,surf_len90_sd,surf_len95_mean,surf_len95_sd
canonical,B2_sweep_serial,2,100,corrected,100,195.4,1.2938307254591874,0.9723217307761333,1.0668651761404957,0.8422178874670048,0.336848208380786,0.2589680984508149,0.38186300084037295,0.16227504088485434,0.4480070791780276,0.16648641773226167,2.0150491459615374,4.724229262822255,2.6116960005492276,6.5868986804817595
canonical,B2_sweep_serial,2,100,did2s,100,195.4,1.1076930647961616,0.10564193289042849,0.9070523859666699,0.08889818691147658,0.2891723076277556,0.046450413106520275,0.3778139325991355,0.048123115971019544,0.44120869009312086,0.04856897849288881,1.1841626373770027,0.08179444863642975,1.411016503230062,0.09746407567313074
canonical,B2_sweep_serial,2,100,did_dr,99,195.31313131313132,1.0856439289567095,0.08650979099539571,0.894189764002975,0.08057866969000957,0.2879413639454617,0.0407241326127537,0.3164059127072951,0.0570666965096281,0.3746929841141838,0.0611511208937962,0.9899702295548235,0.10964980581373769,1.1796220278512195,0.1306557737050927
canonical,B2_sweep_serial,2,100,doubleml,100,195.4,1.1163972255283034,0.09668147012084148,0.9147792697602894,0.08554153761689949,0.2928861479735557,0.044920083620110726,0.4331855610328212,0.07350568764004797,0.5081414299247176,0.07968741528984259,1.4175278951764119,0.23819636373957642,1.6890882981356043,0.2838284114337654
canonical,B2_sweep_serial,2,100,plain,100,195.4,0.4101631593900698,0.10982843440374564,0.33068293379016933,0.09795975506917758,0.1026409848919614,0.03209432417221771,0.7796982872300988,0.14531497456684025,0.8570453479975767,0.12342680967391227,1.0213866972501153,0.055107129905248575,1.2163628010940435,0.06534338006303236
canonical,B2_sweep_serial,2,100,synthdid,100,195.4,1.0836514698355728,0.09671372460424577,0.8902901983293732,0.08545443566796457,0.28542928020816943,0.042685647023014237,0.30924225626495166,0.06140003722158483,0.37010376420236435,0.059325525197261406,0.9651528146270743,0.07988680951838706,1.15005026048983,0.09519098396021536
canonical,B2_sweep_serial,2,100,wang,100,195.4,0.9930830445720582,0.08625713947879593,0.8217404327783732,0.06852787736963892,0.26395439735894755,0.03897854286459635,0.3542491666186164,0.06226647061294146,0.42612382888301376,0.06679486768648801,1.0734465446670562,0.10225504386878528,1.2790901705998363,0.12184437330075418
canonical,B2_sweep_serial,2,200,corrected,100,401.24,1.1295403639252066,0.463164601667827,0.9301425974415685,0.37737355906445175,0.30140093093614234,0.12211351481804339,0.24968523128443576,0.1275523464252001,0.29496018338592733,0.12876359464597786,1.108876069655355,2.720707482296885,1.4009208318289694,3.7100914830808307
canonical,B2_sweep_serial,2,200,did2s,100,401.24,1.0709504868018758,0.06552986647010989,0.8817272307780765,0.057439587394296596,0.28389633977938483,0.0487507959642842,0.2674967527324472,0.04060562263430526,0.3177696791918021,0.043179615688929286,0.8297602544865208,0.039418191540503515,0.9887201097631886,0.046969661966649826
canonical,B2_sweep_serial,2,200,did_dr,100,401.24,1.0653947189863613,0.06390456369039185,0.8768775029394266,0.05552176761582112,0.2839849014970085,0.05303060526916963,0.21833141952204602,0.03849570765371593,0.25930932659288924,0.04135284671239322,0.6763426937275008,0.043664982136814585,0.8059118507593547,0.05203002397100263
canonical,B2_sweep_serial,2,200,doubleml,100,401.24,1.0777940482613106,0.0671156499913999,0.8855879596628091,0.0564604363458417,0.28654297946719054,0.056145859128171015,0.278298546442563,0.046145287861155154,0.33279537508842816,0.048347613832898824,0.8688425374993671,0.07339911583659146,1.0352895121192571,0.0874604218195344
canonical,B2_sweep_serial,2,200,plain,100,401.24,0.3116789567700237,0.08675890641762772,0.24962564493552897,0.07552638263208114,0.07655090462696237,0.028947869296697362,0.8046125674706345,0.14046978074299823,0.8792768817096241,0.11061363084482986,0.813036099711545,0.048243430933505665,0.968627713271305,0.055273746814219996
canonical,B2_sweep_serial,2,200,synthdid,100,401.24,1.0617126678854794,0.061182142499082784,0.8746974278746942,0.05431410514905645,0.2819490355625235,0.04999111771118617,0.2152027883415952,0.03874403209881188,0.2544245246571733,0.043677226436004905,0.66492713780115,0.032439139605659646,0.7923093798679354,0.03865361048340283
canonical,B2_sweep_serial,2,200,twfe,100,401.24,0.9023870074298901,0.043534772047852374,0.7623700790308157,0.04467812143695739,0.22106081213824763,0.017554973982472057,0.2968376430117112,0.04157671413163038,0.34781489613300254,0.04205341625545813,0.8114676033547706,0.039099428975697396,0.966923287967013,0.04658984322542978
canonical,B2_sweep_serial,2,200,wang,100,401.24,0.6144631245897139,0.09742653402956299,0.518224710485373,0.09299896630391555,0.15040519526151255,0.02807272877633716,0.5106679008754542,0.1318637390129595,0.5898017025181442,0.12973767338195213,0.9906422643161434,0.07511703496436153,1.180422806485029,0.08950744827011467
canonical,B2_sweep_serial,2,400,corrected,100,803.44,1.116826988396911,0.43941122147075473,0.921489509843162,0.3621381423392163,0.3077482100056392,0.16646969031726205,0.18216454215602124,0.13260668165392545,0.21520787668266766,0.14092506558364515,0.8022206539376944,1.932407498943715,1.0165268343631142,2.65533335932292
canonical,B2_sweep_serial,2,400,did2s,100,803.44,1.05788680567535,0.04728108755127471,0.8717409427380954,0.044575289563563644,0.2955951239837833,0.13529252703235087,0.19292163721527383,0.0286491536014748,0.23122389098373763,0.03056635340492624,0.5955820365328088,0.019363981995336052,0.7096796132975876,0.023073602646500456
canonical,B2_sweep_serial,2,400,did_dr,100,803.44,1.0517199575070146,0.04574330652918731,0.8668473545298093,0.04326765125585517,0.29391652195897167,0.13585772300004356,0.1543677017356853,0.026484102151166644,0.18360376112556356,0.028899058601797208,0.4771217931746601,0.034633280824548224,0.5685255580360199,0.04126809043112932
canonical,B2_sweep_serial,2,400,doubleml,100,803.44,1.0555076131469985,0.04593670130361178,0.8692132743301672,0.04343718221659609,0.29396175724345597,0.13148527875115867,0.1852577117651474,0.026496531754586616,0.2205291418864737,0.03002540371434185,0.564960210270122,0.03181219444708123,0.6731914647511995,0.03790655941334559
canonical,B2_sweep_serial,2,400,plain,100,803.44,0.23388657793071185,0.04327080839880103,0.18525193241759086,0.03728737809553869,0.05940917858404519,0.030494024768863943,0.8457324498625245,0.08884398276119009,0.9065594269124121,0.07164652183008242,0.6740838187800742,0.03692559125704687,0.802574081539825,0.04221010433012433
canonical,B2_sweep_serial,2,400,synthdid,100,803.44,1.0514267383503415,0.04545637022959889,0.8668987399101619,0.04329447632987792,0.29357394249479873,0.1349025346244369,0.15344848605184444,0.028570244928115572,0.18291110512256953,0.029841896009773862,0.473356199604318,0.01731169076856219,0.5640385775280222,0.02062814735260054
canonical,B2_sweep_serial,2,400,twfe,100,803.44,0.891673545751091,0.03071954262766679,0.7539862512563923,0.034148490652858354,0.2212678602204263,0.014411665052472674,0.2290384439679663,0.029557897429082124,0.2664099581937846,0.0313599028855879,0.580570894357378,0.017754734635644073,0.6917928895117673,0.021156071197303485
canonical,B2_sweep_serial,2,400,wang,100,803.44,0.424006542578024,0.0754501039995355,0.35038974355558294,0.06615155298718946,0.10155609642151785,0.019242709728017674,0.6724626204438686,0.1122441954375651,0.7526552525145057,0.10712992313332867,0.9035459119499056,0.053413910585154205,1.0766411242389815,0.06364658616881613
canonical,B2_sweep_serial,2,800,corrected,100,1593.56,1.077181213870995,0.11710754418755397,0.8887649914691558,0.1033101705989854,0.28755982528968593,0.03414027403047376,0.1202910020711392,0.08852283783230253,0.14252326542399732,0.0998286930475813,0.434736529058857,0.7278834841407734,0.5315573367155904,0.951152887585044
