dgp,setting,linearity_degree,N,method,mean,sd,rmse,estimand_type,estimand_id
canonical,B1_baseline,1,200,wang,-0.514005062343948,3.1174780220932936,3.144150716833971,GATT,g=4_t=4
canonical,B1_baseline,2,200,did_dr,-0.48461131379811745,3.1668367008824774,3.1880110207803223,GATT,g=4_t=4
canonical,B1_baseline,2,200,doubleml,-0.48651959581746085,3.9449335747506242,3.9551962299255368,GATT,g=4_t=4
canonical,B1_baseline,2,200,wang,-0.5182257999502201,3.1206637119446894,3.1479699113479414,GATT,g=4_t=4
canonical,B1_baseline,3,200,did_dr,-0.4846113137981223,3.1668367008824787,3.188011020780323,GATT,g=4_t=4
canonical,B1_baseline,3,200,doubleml,-0.5405503604641095,3.8162128038208607,3.8353670038998473,GATT,g=4_t=4
canonical,B1_baseline,3,200,wang,-0.5197380944639907,3.125469942190563,3.152935841843023,GATT,g=4_t=4
canonical,B1_null,1,200,did_dr,-0.4388917609706885,3.115784209355494,3.1310790639529205,GATT,g=4_t=4
canonical,B1_null,1,200,doubleml,-0.44278112140325915,3.9917558228137944,3.9963519020413205,GATT,g=4_t=4
canonical,B1_null,1,200,wang,-0.46879302319792765,2.9930197802518723,3.014689474809675,GATT,g=4_t=4
canonical,B1_null,2,200,did_dr,-0.48461131379812167,3.1668367008824743,3.18801102078032,GATT,g=4_t=4
canonical,B1_null,2,200,doubleml,-0.7578253652732369,3.875172111832137,3.9295150580713956,GATT,g=4_t=4
canonical,B1_null,2,200,wang,-0.4716770638505628,2.9910374445119685,3.0131911982299835,GATT,g=4_t=4
canonical,B1_null,3,200,did_dr,-0.48461131379812167,3.1668367008824743,3.18801102078032,GATT,g=4_t=4
canonical,B1_null,3,200,doubleml,-0.7802265019170659,3.5343315136576154,3.6021295993124305,GATT,g=4_t=4
canonical,B1_null,3,200,wang,-0.4684863978060253,2.9941549116761395,3.0157575339692797,GATT,g=4_t=4
canonical,B1_selection_obs,1,200,did_dr,-0.0789912522060272,3.9752299325787273,3.9560925298362575,GATT,g=4_t=4
canonical,B1_selection_obs,1,200,doubleml,-0.1576518697397395,4.880378465162527,4.8584737454906906,GATT,g=4_t=4
canonical,B1_selection_obs,1,200,wang,-1.4042503701240812,3.317097671035226,3.5867847289165633,GATT,g=4_t=4
canonical,B1_selection_obs,2,200,did_dr,0.2590505559067468,4.784252157566238,4.76434626684723,GATT,g=4_t=4
canonical,B1_selection_obs,2,200,doubleml,-0.22820572855426885,4.769307812878966,4.750885380473143,GATT,g=4_t=4
