setting,N,linearity_degree,method,n_reps
B2_sweep_serial,200,2,synthdid,100
B2_sweep_serial,200,2,twfe,100
B2_sweep_serial,200,2,wang,100
B2_sweep_serial,200,3,corrected,100
B2_sweep_serial,200,3,did2s,100
B2_sweep_serial,200,3,did_dr,100
B2_sweep_serial,200,3,doubleml,100
B2_sweep_serial,200,3,plain,100
B2_sweep_serial,200,3,synthdid,100
B2_sweep_serial,200,3,twfe,100
B2_sweep_serial,200,3,wang,100
B2_sweep_serial,400,1,corrected,100
B2_sweep_serial,400,1,did2s,100
B2_sweep_serial,400,1,did_dr,100
B2_sweep_serial,400,1,doubleml,100
B2_sweep_serial,400,1,plain,100
B2_sweep_serial,400,1,synthdid,100
B2_sweep_serial,400,1,twfe,100
B2_sweep_serial,400,1,wang,100
B2_sweep_serial,400,2,corrected,100
B2_sweep_serial,400,2,did2s,100
B2_sweep_serial,400,2,did_dr,100
B2_sweep_serial,400,2,doubleml,100
B2_sweep_serial,400,2,plain,100
B2_sweep_serial,400,2,synthdid,100
B2_sweep_serial,400,2,twfe,100
B2_sweep_serial,400,2,wang,100
B2_sweep_serial,400,3,corrected,100
B2_sweep_serial,400,3,did2s,100
B2_sweep_serial,400,3,did_dr,100
B2_sweep_serial,400,3,doubleml,100
B2_sweep_serial,400,3,plain,100
B2_sweep_serial,400,3,synthdid,100
B2_sweep_serial,400,3,twfe,100
B2_sweep_serial,400,3,wang,100
B2_sweep_serial,800,1,corrected,100
B2_sweep_serial,800,1,did2s,100
B2_sweep_serial,800,1,did_dr,100
B2_sweep_serial,800,1,doubleml,100
B2_sweep_serial,800,1,plain,100
B2_sweep_serial,800,1,synthdid,100
B2_sweep_serial,800,1,twfe,100
B2_sweep_serial,800,1,wang,100
B2_sweep_serial,800,2,corrected,100
B2_sweep_serial,800,2,did2s,100
B2_sweep_serial,800,2,did_dr,100
B2_sweep_serial,800,2,doubleml,100
B2_sweep_serial,800,2,plain,100
B2_sweep_serial,800,2,synthdid,100
B2_sweep_serial,800,2,twfe,100
B2_sweep_serial,800,2,wang,100
B2_sweep_serial,800,3,corrected,100
B2_sweep_serial,800,3,did2s,100
B2_sweep_serial,800,3,did_dr,100
B2_sweep_serial,800,3,doubleml,100
B2_sweep_serial,800,3,plain,100
B2_sweep_serial,800,3,synthdid,100
B2_sweep_serial,800,3,twfe,100
B2_sweep_serial,800,3,wang,100
B2_sweep_serial,1600,1,doubleml,100
B2_sweep_serial,1600,1,twfe,100
B2_sweep_serial,1600,1,wang,100
B2_sweep_serial,1600,2,doubleml,100
B2_sweep_serial,1600,2,twfe,100
B2_sweep_serial,1600,2,wang,100
B2_sweep_serial,1600,3,doubleml,100
B2_sweep_serial,1600,3,twfe,100
B2_sweep_serial,1600,3,wang,100
D_contamination,200,1,corrected,100
D_contamination,200,1,did2s,100
D_contamination,200,1,did_dr,100
D_contamination,200,1,doubleml,100
D_contamination,200,1,plain,100
D_contamination,200,1,synthdid,100
D_contamination,200,1,twfe,100
D_contamination,200,1,wang,100
D_contamination,200,2,corrected,100
D_contamination,200,2,did2s,100
D_contamination,200,2,did_dr,100
D_contamination,200,2,doubleml,100
D_contamination,200,2,plain,100
D_contamination,200,2,synthdid,100
D_contamination,200,2,twfe,100
D_contamination,200,2,wang,100
D_contamination,200,3,corrected,100
D_contamination,200,3,did2s,100
D_contamination,200,3,did_dr,100
D_contamination,200,3,doubleml,100
D_contamination,200,3,plain,100
D_contamination,200,3,synthdid,100
D_contamination,200,3,twfe,100
D_contamination,200,3,wang,100
D_ramp_nt05,200,1,corrected,200
D_ramp_nt05,200,1,did2s,200
D_ramp_nt05,200,1,did_dr,185
D_ramp_nt05,200,1,doubleml,185
D_ramp_nt05,200,1,plain,200
D_ramp_nt05,200,1,synthdid,200
D_ramp_nt05,200,1,twfe,200
D_ramp_nt05,200,1,wang,200
D_ramp_nt05,200,2,corrected,200
D_ramp_nt05,200,2,did2s,200
D_ramp_nt05,200,2,did_dr,185
D_ramp_nt05,200,2,doubleml,185
D_ramp_nt05,200,2,plain,200
D_ramp_nt05,200,2,synthdid,200
D_ramp_nt05,200,2,twfe,200
D_ramp_nt05,200,2,wang,200
D_ramp_nt05,200,3,corrected,200
D_ramp_nt05,200,3,did2s,200
D_ramp_nt05,200,3,did_dr,185
D_ramp_nt05,200,3,doubleml,185
D_ramp_nt05,200,3,plain,200
D_ramp_nt05,200,3,synthdid,200
D_ramp_nt05,200,3,twfe,200
D_ramp_nt05,200,3,wang,200
D_ramp_nt10,200,1,corrected,200
D_ramp_nt10,200,1,did2s,200
D_ramp_nt10,200,1,did_dr,200
D_ramp_nt10,200,1,doubleml,200
D_ramp_nt10,200,1,plain,200
D_ramp_nt10,200,1,synthdid,200
D_ramp_nt10,200,1,twfe,200
D_ramp_nt10,200,1,wang,200
D_ramp_nt10,200,2,corrected,200
D_ramp_nt10,200,2,did2s,200
D_ramp_nt10,200,2,did_dr,200
D_ramp_nt10,200,2,doubleml,200
D_ramp_nt10,200,2,plain,200
D_ramp_nt10,200,2,synthdid,200
D_ramp_nt10,200,2,twfe,200
D_ramp_nt10,200,2,wang,200
D_ramp_nt10,200,3,corrected,200
D_ramp_nt10,200,3,did2s,200
D_ramp_nt10,200,3,did_dr,200
D_ramp_nt10,200,3,doubleml,200
D_ramp_nt10,200,3,plain,200
D_ramp_nt10,200,3,synthdid,200
D_ramp_nt10,200,3,twfe,200
D_ramp_nt10,200,3,wang,200
D_ramp_nt20,200,1,did2s,200
D_ramp_nt20,200,1,did_dr,200
D_ramp_nt20,200,1,doubleml,200
D_ramp_nt20,200,1,synthdid,200
D_ramp_nt20,200,1,twfe,200
D_ramp_nt20,200,1,wang,200
D_ramp_nt20,200,2,did2s,200
D_ramp_nt20,200,2,did_dr,200
D_ramp_nt20,200,2,doubleml,200
D_ramp_nt20,200,2,synthdid,200
D_ramp_nt20,200,2,twfe,200
D_ramp_nt20,200,2,wang,200
D_ramp_nt20,200,3,did2s,200
D_ramp_nt20,200,3,did_dr,200
D_ramp_nt20,200,3,doubleml,200
D_ramp_nt20,200,3,synthdid,200
D_ramp_nt20,200,3,twfe,200
D_ramp_nt20,200,3,wang,200
D_ramp_nt25,200,1,did2s,200
D_ramp_nt25,200,1,did_dr,200
D_ramp_nt25,200,1,doubleml,200
D_ramp_nt25,200,1,synthdid,200
D_ramp_nt25,200,1,twfe,200
D_ramp_nt25,200,1,wang,200
D_ramp_nt25,200,2,did2s,200
D_ramp_nt25,200,2,did_dr,200
D_ramp_nt25,200,2,doubleml,200
D_ramp_nt25,200,2,synthdid,200
D_ramp_nt25,200,2,twfe,200
D_ramp_nt25,200,2,wang,200
D_ramp_nt25,200,3,did2s,200
D_ramp_nt25,200,3,did_dr,200
D_ramp_nt25,200,3,doubleml,200
D_ramp_nt25,200,3,synthdid,200
D_ramp_nt25,200,3,twfe,200
D_ramp_nt25,200,3,wang,200
D_ramp_nt30,200,1,corrected,200
D_ramp_nt30,200,1,did2s,200
D_ramp_nt30,200,1,did_dr,200
D_ramp_nt30,200,1,doubleml,200
D_ramp_nt30,200,1,plain,200
D_ramp_nt30,200,1,synthdid,200
D_ramp_nt30,200,1,twfe,200
D_ramp_nt30,200,1,wang,200
D_ramp_nt30,200,2,corrected,200
D_ramp_nt30,200,2,did2s,200
D_ramp_nt30,200,2,did_dr,200
D_ramp_nt30,200,2,doubleml,200
D_ramp_nt30,200,2,plain,200
D_ramp_nt30,200,2,synthdid,200
D_ramp_nt30,200,2,twfe,200
D_ramp_nt30,200,2,wang,200
D_ramp_nt30,200,3,corrected,200
D_ramp_nt30,200,3,did2s,200
D_ramp_nt30,200,3,did_dr,200
D_ramp_nt30,200,3,doubleml,200
D_ramp_nt30,200,3,plain,200
D_ramp_nt30,200,3,synthdid,200
D_ramp_nt30,200,3,twfe,200
D_ramp_nt30,200,3,wang,200
D_ramp_nt40,200,1,corrected,200
D_ramp_nt40,200,1,did2s,200
D_ramp_nt40,200,1,did_dr,200
D_ramp_nt40,200,1,doubleml,200
D_ramp_nt40,200,1,plain,200
D_ramp_nt40,200,1,synthdid,200
D_ramp_nt40,200,1,twfe,200
D_ramp_nt40,200,1,wang,200
D_ramp_nt40,200,2,corrected,200
D_ramp_nt40,200,2,did2s,200
D_ramp_nt40,200,2,did_dr,200
D_ramp_nt40,200,2,doubleml,200
D_ramp_nt40,200,2,plain,200
D_ramp_nt40,200,2,synthdid,200
D_ramp_nt40,200,2,twfe,200
D_ramp_nt40,200,2,wang,200
D_ramp_nt40,200,3,corrected,200
D_ramp_nt40,200,3,did2s,200
D_ramp_nt40,200,3,did_dr,200
D_ramp_nt40,200,3,doubleml,200
D_ramp_nt40,200,3,plain,200
D_ramp_nt40,200,3,synthdid,200
D_ramp_nt40,200,3,twfe,200
D_ramp_nt40,200,3,wang,200
D_staggered,200,1,corrected,100
D_staggered,200,1,did2s,100
D_staggered,200,1,did_dr,100
D_staggered,200,1,doubleml,100
D_staggered,200,1,plain,100
D_staggered,200,1,synthdid,100
D_staggered,200,1,twfe,100
D_staggered,200,1,wang,100
D_staggered,200,2,corrected,100
D_staggered,200,2,did2s,100
D_staggered,200,2,did_dr,100
D_staggered,200,2,doubleml,100
D_staggered,200,2,plain,100
D_staggered,200,2,synthdid,100
D_staggered,200,2,twfe,100
D_staggered,200,2,wang,100
D_staggered,200,3,corrected,100
D_staggered,200,3,did2s,100
D_staggered,200,3,did_dr,100
D_staggered,200,3,doubleml,100
D_staggered,200,3,plain,100
D_staggered,200,3,synthdid,100
D_staggered,200,3,twfe,100
D_staggered,200,3,wang,100
PT_conditional,200,1,corrected,200
PT_conditional,200,1,did2s,200
PT_conditional,200,1,did_dr,200
PT_conditional,200,1,doubleml,200
PT_conditional,200,1,plain,200
PT_conditional,200,1,pretrend,200
PT_conditional,200,1,synthdid,200
PT_conditional,200,1,twfe_es,200
PT_conditional,200,1,wang,200
PT_conditional,200,3,did2s,200
PT_conditional,200,3,did_dr,181
PT_conditional,200,3,doubleml,200
PT_conditional,200,3,pretrend,200
PT_conditional,200,3,synthdid,200
PT_conditional,200,3,twfe_es,200
PT_conditional,200,3,wang,200
PT_hold,200,1,corrected,200
PT_hold,200,1,did2s,200
PT_hold,200,1,did_dr,200
PT_hold,200,1,doubleml,200
PT_hold,200,1,plain,200
PT_hold,200,1,pretrend,200
PT_hold,200,1,synthdid,200
PT_hold,200,1,twfe_es,200
PT_hold,200,1,wang,200
PT_hold,200,3,did2s,200
PT_hold,200,3,did_dr,200
PT_hold,200,3,doubleml,200
PT_hold,200,3,pretrend,200
PT_hold,200,3,synthdid,200
PT_hold,200,3,twfe_es,200
PT_hold,200,3,wang,200
PT_violation_a20,200,1,corrected,200
PT_violation_a20,200,1,did2s,200
PT_violation_a20,200,1,did_dr,200
PT_violation_a20,200,1,doubleml,200
PT_violation_a20,200,1,plain,200
PT_violation_a20,200,1,pretrend,200
PT_violation_a20,200,1,synthdid,200
PT_violation_a20,200,1,twfe_es,200
PT_violation_a20,200,1,wang,200
PT_violation_a20,200,3,did2s,200
PT_violation_a20,200,3,did_dr,200
PT_violation_a20,200,3,doubleml,200
PT_violation_a20,200,3,pretrend,200
PT_violation_a20,200,3,synthdid,200
PT_violation_a20,200,3,twfe_es,200
PT_violation_a20,200,3,wang,200
PT_violation_g05,200,1,corrected,200
PT_violation_g05,200,1,did2s,200
PT_violation_g05,200,1,did_dr,200
PT_violation_g05,200,1,doubleml,200
PT_violation_g05,200,1,plain,200
PT_violation_g05,200,1,pretrend,200
PT_violation_g05,200,1,synthdid,200
PT_violation_g05,200,1,twfe_es,200
PT_violation_g05,200,1,wang,200
PT_violation_g05,200,3,did2s,200
PT_violation_g05,200,3,did_dr,200
PT_violation_g05,200,3,doubleml,200
PT_violation_g05,200,3,pretrend,200
PT_violation_g05,200,3,synthdid,200
PT_violation_g05,200,3,twfe_es,200
PT_violation_g05,200,3,wang,200
PT_violation_g10,200,1,corrected,200
PT_violation_g10,200,1,did2s,200
PT_violation_g10,200,1,did_dr,200
PT_violation_g10,200,1,doubleml,200
PT_violation_g10,200,1,plain,200
PT_violation_g10,200,1,pretrend,200
PT_violation_g10,200,1,synthdid,200
PT_violation_g10,200,1,twfe_es,200
PT_violation_g10,200,1,wang,200
PT_violation_g10,200,3,did2s,200
PT_violation_g10,200,3,did_dr,200
PT_violation_g10,200,3,doubleml,200
PT_violation_g10,200,3,pretrend,200
PT_violation_g10,200,3,synthdid,200
PT_violation_g10,200,3,twfe_es,200
PT_violation_g10,200,3,wang,200
PT_violation_g20,200,1,corrected,200
PT_violation_g20,200,1,did2s,200
PT_violation_g20,200,1,did_dr,200
PT_violation_g20,200,1,doubleml,200
PT_violation_g20,200,1,plain,200
PT_violation_g20,200,1,pretrend,200
PT_violation_g20,200,1,synthdid,200
PT_violation_g20,200,1,twfe_es,200
PT_violation_g20,200,1,wang,200
PT_violation_g20,200,3,did2s,200
PT_violation_g20,200,3,did_dr,200
PT_violation_g20,200,3,doubleml,200
PT_violation_g20,200,3,pretrend,200
PT_violation_g20,200,3,synthdid,200
PT_violation_g20,200,3,twfe_es,200
PT_violation_g20,200,3,wang,200
PT_violation_g40,200,1,corrected,200
PT_violation_g40,200,1,did2s,200
PT_violation_g40,200,1,did_dr,200
PT_violation_g40,200,1,doubleml,200
PT_violation_g40,200,1,plain,200
PT_violation_g40,200,1,pretrend,200
PT_violation_g40,200,1,synthdid,200
PT_violation_g40,200,1,twfe_es,200
PT_violation_g40,200,1,wang,200
PT_violation_g40,200,3,did2s,200
PT_violation_g40,200,3,did_dr,200
PT_violation_g40,200,3,doubleml,200
PT_violation_g40,200,3,pretrend,200
PT_violation_g40,200,3,synthdid,200
PT_violation_g40,200,3,twfe_es,200
PT_violation_g40,200,3,wang,200
PT_violation_het10,200,1,corrected,200
PT_violation_het10,200,1,did2s,200
PT_violation_het10,200,1,did_dr,200
PT_violation_het10,200,1,doubleml,200
PT_violation_het10,200,1,plain,200
PT_violation_het10,200,1,pretrend,200
PT_violation_het10,200,1,synthdid,200
PT_violation_het10,200,1,twfe_es,200
PT_violation_het10,200,1,wang,200
PT_violation_het10,200,3,did2s,200
PT_violation_het10,200,3,did_dr,200
PT_violation_het10,200,3,doubleml,200
PT_violation_het10,200,3,pretrend,200
PT_violation_het10,200,3,synthdid,200
PT_violation_het10,200,3,twfe_es,200
PT_violation_het10,200,3,wang,200
PT_violation_het20,200,1,corrected,200
PT_violation_het20,200,1,did2s,200
PT_violation_het20,200,1,did_dr,200
PT_violation_het20,200,1,doubleml,200
PT_violation_het20,200,1,plain,200
PT_violation_het20,200,1,pretrend,200
PT_violation_het20,200,1,synthdid,200
PT_violation_het20,200,1,twfe_es,200
PT_violation_het20,200,1,wang,200
PT_violation_het20,200,3,did2s,200
PT_violation_het20,200,3,did_dr,200
PT_violation_het20,200,3,doubleml,200
PT_violation_het20,200,3,pretrend,150
PT_violation_het20,200,3,synthdid,200
PT_violation_het20,200,3,twfe_es,150
PT_violation_het20,200,3,wang,200
PT_violation_het40,200,1,corrected,200
PT_violation_het40,200,1,did2s,200
PT_violation_het40,200,1,did_dr,200
PT_violation_het40,200,1,doubleml,200
PT_violation_het40,200,1,plain,200
PT_violation_het40,200,1,pretrend,200
PT_violation_het40,200,1,synthdid,200
PT_violation_het40,200,1,twfe_es,200
PT_violation_het40,200,1,wang,200
PT_violation_het40,200,3,did2s,200
PT_violation_het40,200,3,did_dr,200
PT_violation_het40,200,3,doubleml,200
PT_violation_het40,200,3,pretrend,200
PT_violation_het40,200,3,synthdid,200
PT_violation_het40,200,3,twfe_es,200
PT_violation_het40,200,3,wang,200
