dgp,setting,linearity_degree,N,estimand_type,estimand_id,method,n_reps,n_reps_attempted,retention,mean_true,bias,abs_bias,emp_sd,variance,rmse,mae,mape,avg_post_sd,sd_ratio,cover90,cover95,len90,len95,reject05,reject10,mcse_bias,mcse_cover90,mcse_cover95,mcse_reject05,mcse_reject10,role,n_reps_expected
canonical,PT_violation_het40,3,200,PRE,k=-3,synthdid,200,200.0,1.0,0.0025603320530872,-0.005226457597595,0.005226457597595,0.1371129711500664,0.0187999668575989,0.1289095925250125,0.103692855926873,2.461031595937419,0.2313557643655024,1.687336817406501,1.0,1.0,0.7610929088793081,0.9068979386977352,0.0,0.005,0.0096953511688847,0.0,0.0,0.0,0.004987484335815,power,200.0
canonical,PT_violation_het40,3,200,PRE,k=-3,wang,200,200.0,1.0,0.0025603320530872,-0.0089238874484202,0.0089238874484202,0.225650879878038,0.0509183195897327,0.2017582697636476,0.1573012005985937,4.0159840107371965,0.2203579219371102,0.9765435971542028,0.915,0.955,0.7249132186598871,0.8637871882230926,0.055,0.105,0.0159559267342471,0.019719913792915,0.014658615214269,0.0161206389451535,0.0216766002869453,power,200.0
canonical,PT_violation_het40,3,200,PRE,k=-4,did2s,200,200.0,1.0,0.0038404980796308,-0.0131561287537476,0.0131561287537476,0.1390184101160073,0.0193261183511824,0.125595893780186,0.1014428685886552,1.6915873743290106,0.1316302751409983,0.9468549887108926,0.925,0.96,0.4330251691735434,0.5159812011729035,0.055,0.11,0.0098300860502801,0.0186245805321891,0.013856406460551,0.0161206389451535,0.0221246468898375,power,200.0
canonical,PT_violation_het40,3,200,PRE,k=-4,did_dr,200,200.0,1.0,0.0038404980796308,-0.0265466036586954,0.0265466036586954,0.2665161028804814,0.0710308330945993,0.2183782203505115,0.1741298937985734,3.1055955869285627,0.2465327469933138,0.9250200806961032,0.955,0.965,0.8110207500458805,0.9663906178560068,0.06,0.1,0.0188455343642199,0.014658615214269,0.012995191418367,0.0167928556237466,0.0212132034355964,power,200.0
canonical,PT_violation_het40,3,200,PRE,k=-4,doubleml,200,200.0,1.0,0.0038404980796308,-0.01555158537129,0.01555158537129,0.3084069042042652,0.0951148185608588,0.2759701505089493,0.2255511736777019,3.7349635700372033,0.3155535568446618,1.023172803666105,0.95,0.97,1.0380790603803391,1.2369472229749818,0.035,0.085,0.0218076613327585,0.0154110350074224,0.0120623380818148,0.012995191418367,0.019719913792915,power,200.0
canonical,PT_violation_het40,3,200,PRE,k=-4,synthdid,200,200.0,1.0,0.0038404980796308,-0.0136634411478131,0.0136634411478131,0.1567428632736497,0.024568325187222,0.1368882183466408,0.1091177493276168,1.9000466753139904,0.2661555771497783,1.698039525315486,1.0,1.0,0.8755741313942427,1.0433106992255758,0.005,0.005,0.0110833941523393,0.0,0.0,0.004987484335815,0.004987484335815,power,200.0
canonical,PT_violation_het40,3,200,PRE,k=-4,wang,200,200.0,1.0,0.0038404980796308,-0.0306612947893834,0.0306612947893834,0.2659141070000956,0.0707103123016583,0.2172126362678309,0.1747420190962447,3.1511306687352336,0.2407798498033993,0.9054797901463448,0.95,0.97,0.7920953981370412,0.9438396750801396,0.06,0.12,0.0188029668272932,0.0154110350074224,0.0120623380818148,0.0167928556237466,0.0229782505861521,power,200.0
canonical,PT_violation_het40,3,200,PRE,slope,did2s,200,200.0,1.0,-0.0012801660265436,0.003628403768974,0.003628403768974,0.0480779185033054,0.0023114862476104,0.0437358662861902,0.0356461204777458,1.6871989526060824,0.0456621452183575,0.9497529560315334,0.905,0.97,0.1502151244219924,0.1789923215815057,0.065,0.13,0.0033996222199021,0.0207334271166153,0.0120623380818148,0.0174320107847603,0.0237802439011882,power,200.0
canonical,PT_violation_het40,3,200,PRE,slope,did_dr,200,200.0,1.0,-0.0012801660265436,0.0056859551174053,0.0056859551174053,0.0923952003506101,0.0085368730478293,0.0764914294095249,0.0619652403927678,3.1043667189431243,0.0859578625146286,0.930328222553186,0.935,0.98,0.282776267977274,0.3369486320912433,0.045,0.11,0.0065333272717006,0.0174320107847603,0.0098994949366116,0.014658615214269,0.0221246468898375,power,200.0
canonical,PT_violation_het40,3,200,PRE,slope,doubleml,200,200.0,1.0,-0.0012801660265436,0.0032963816488723,0.0032963816488723,0.1034376494905319,0.0106993473321261,0.0916744349463137,0.0742779325384989,3.5057621587240093,0.1071499226405043,1.0358889936909497,0.945,0.975,0.3524919577098481,0.4200199819563467,0.05,0.1,0.0073141463384752,0.0161206389451535,0.0110397010829098,0.0154110350074224,0.0212132034355964,power,200.0
