dgp,setting,linearity_degree,N,rep,spec,estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,true
canonical,PT_violation_het20,1,200,13,pretrend_unit,PRE,any,,,,twfe_es,,,,,,,0.020271683350849664,0.029702970297029712
canonical,PT_violation_het20,1,200,13,pretrend_unit,PRE,any_bonf,,,,twfe_es,,,,,,,0.06081505005254899,0.029702970297029712
canonical,PT_violation_het20,1,200,13,pretrend_unit,PRE,joint,,,,twfe_es,,,,,,,0.11646188758749983,0.029702970297029712
canonical,PT_violation_het20,1,200,14,pretrend_unit,PRE,k=-4,,,-4.0,pretrend,-0.20808112293996228,0.17820067537151182,-0.5716719670819806,-0.5162855398952245,0.08734701587289319,0.13143148219946638,0.11733333333333333,0.047058823529411764
canonical,PT_violation_het20,1,200,14,pretrend_unit,PRE,k=-3,,,-3.0,pretrend,-0.08227470281030952,0.16730940050382176,-0.397074812960503,-0.35932750389523027,0.19062328177045537,0.24251320336517967,0.282,0.03137254901960784
canonical,PT_violation_het20,1,200,14,pretrend_unit,PRE,k=-2,,,-2.0,pretrend,-0.03744862773721163,0.14995524053926276,-0.3473523233265706,-0.2943903382576147,0.21013918087650577,0.271488754978756,0.2833333333333333,0.01568627450980392
canonical,PT_violation_het20,1,200,14,pretrend_unit,PRE,slope,,,,pretrend,0.05901724301269412,0.06274910429634808,-0.06198107556876457,-0.04141746990590501,0.1620975019461895,0.18525213477763366,0.15733333333333333,-0.01568627450980392
canonical,PT_violation_het20,1,200,14,pretrend_unit,PRE,any,,,,pretrend,,,,,,,0.11733333333333333,-0.01568627450980392
canonical,PT_violation_het20,1,200,14,pretrend_unit,PRE,any_bonf,,,,pretrend,,,,,,,0.352,-0.01568627450980392
canonical,PT_violation_het20,1,200,14,pretrend_unit,PRE_SUB,X1=0_k=-4,,,-4.0,pretrend,0.10550508869470757,0.22871183391516584,-0.3506138777593934,-0.2710816660949141,0.47293269237602803,0.5631097627543524,0.31666666666666665,0.5999999999999996
canonical,PT_violation_het20,1,200,14,pretrend_unit,PRE_SUB,X1=0_k=-3,,,-3.0,pretrend,0.1419143175334608,0.213442977372444,-0.25672115845541826,-0.19179813925589126,0.5177745956101483,0.581270120878658,0.21466666666666667,0.3999999999999998
canonical,PT_violation_het20,1,200,14,pretrend_unit,PRE_SUB,X1=0_k=-2,,,-2.0,pretrend,0.0890368213157397,0.19635127417845072,-0.2555702497639581,-0.19407066776050413,0.46918114121079163,0.5504099146358616,0.20866666666666667,0.1999999999999999
canonical,PT_violation_het20,1,200,14,pretrend_unit,PRE_SUB,X1=1_k=-4,,,-4.0,pretrend,-0.5750437110230866,0.2586387696228218,-1.1143015841093042,-1.0313611824269058,-0.1471121728436175,-0.0832669276069028,0.008,-0.5999999999999996
canonical,PT_violation_het20,1,200,14,pretrend_unit,PRE_SUB,X1=1_k=-3,,,-3.0,pretrend,-0.3446235564040834,0.26632201600677397,-0.8603928511671625,-0.7851740387579061,0.06545246766713762,0.12160677277329207,0.07933333333333334,-0.3999999999999998
