family,design,degree,N,rep,task_estimator,shard,n_shards,wave_id,n_waves,oracle_available,config_hash,base_seed,seed
correction_audit,baseline,2,200,40,reference_fold_convolution_rf,0,48,0,1,True,1d4ec075e86f013d,20260829,2495349612
correction_audit,baseline,2,200,88,current_hybrid_intercept,0,48,0,1,True,1d4ec075e86f013d,20260829,3193165527
correction_audit,baseline,2,200,88,current_hybrid_logit,0,48,0,1,True,1d4ec075e86f013d,20260829,3193165527
correction_audit,baseline,2,200,88,current_hybrid_logit_clip01,0,48,0,1,True,1d4ec075e86f013d,20260829,3193165527
correction_audit,baseline,2,200,88,current_hybrid_logit_clip05,0,48,0,1,True,1d4ec075e86f013d,20260829,3193165527
correction_audit,baseline,2,200,88,current_hybrid_rf,0,48,0,1,True,1d4ec075e86f013d,20260829,3193165527
correction_audit,baseline,2,200,88,oracle_current_hybrid,0,48,0,1,False,1d4ec075e86f013d,20260829,3193165527
correction_audit,baseline,2,200,88,oracle_reference_fold_convolution,0,48,0,1,False,1d4ec075e86f013d,20260829,3193165527
correction_audit,baseline,2,200,88,raw_structured,0,48,0,1,True,1d4ec075e86f013d,20260829,3193165527
correction_audit,baseline,2,200,88,reference_fold_convolution_intercept,0,48,0,1,True,1d4ec075e86f013d,20260829,3193165527
correction_audit,baseline,2,200,88,reference_fold_convolution_logit,0,48,0,1,True,1d4ec075e86f013d,20260829,3193165527
correction_audit,baseline,2,200,88,reference_fold_convolution_rf,0,48,0,1,True,1d4ec075e86f013d,20260829,3193165527
correction_audit,baseline,2,800,36,current_hybrid_intercept,0,48,0,1,True,1d4ec075e86f013d,20260829,1203876271
correction_audit,baseline,2,800,36,current_hybrid_logit,0,48,0,1,True,1d4ec075e86f013d,20260829,1203876271
correction_audit,baseline,2,800,36,current_hybrid_logit_clip01,0,48,0,1,True,1d4ec075e86f013d,20260829,1203876271
correction_audit,baseline,2,800,36,current_hybrid_logit_clip05,0,48,0,1,True,1d4ec075e86f013d,20260829,1203876271
correction_audit,baseline,2,800,36,current_hybrid_rf,0,48,0,1,True,1d4ec075e86f013d,20260829,1203876271
correction_audit,baseline,2,800,36,oracle_current_hybrid,0,48,0,1,False,1d4ec075e86f013d,20260829,1203876271
correction_audit,baseline,2,800,36,oracle_reference_fold_convolution,0,48,0,1,False,1d4ec075e86f013d,20260829,1203876271
correction_audit,baseline,2,800,36,raw_structured,0,48,0,1,True,1d4ec075e86f013d,20260829,1203876271
correction_audit,baseline,2,800,36,reference_fold_convolution_intercept,0,48,0,1,True,1d4ec075e86f013d,20260829,1203876271
correction_audit,baseline,2,800,36,reference_fold_convolution_logit,0,48,0,1,True,1d4ec075e86f013d,20260829,1203876271
correction_audit,baseline,2,800,36,reference_fold_convolution_rf,0,48,0,1,True,1d4ec075e86f013d,20260829,1203876271
correction_audit,baseline,2,800,84,current_hybrid_intercept,0,48,0,1,True,1d4ec075e86f013d,20260829,2333387887
correction_audit,baseline,2,800,84,current_hybrid_logit,0,48,0,1,True,1d4ec075e86f013d,20260829,2333387887
correction_audit,baseline,2,800,84,current_hybrid_logit_clip01,0,48,0,1,True,1d4ec075e86f013d,20260829,2333387887
correction_audit,baseline,2,800,84,current_hybrid_logit_clip05,0,48,0,1,True,1d4ec075e86f013d,20260829,2333387887
correction_audit,baseline,2,800,84,current_hybrid_rf,0,48,0,1,True,1d4ec075e86f013d,20260829,2333387887
correction_audit,baseline,2,800,84,oracle_current_hybrid,0,48,0,1,False,1d4ec075e86f013d,20260829,2333387887
correction_audit,baseline,2,800,84,oracle_reference_fold_convolution,0,48,0,1,False,1d4ec075e86f013d,20260829,2333387887
correction_audit,baseline,2,800,84,raw_structured,0,48,0,1,True,1d4ec075e86f013d,20260829,2333387887
correction_audit,baseline,2,800,84,reference_fold_convolution_intercept,0,48,0,1,True,1d4ec075e86f013d,20260829,2333387887
correction_audit,baseline,2,800,84,reference_fold_convolution_logit,0,48,0,1,True,1d4ec075e86f013d,20260829,2333387887
correction_audit,baseline,2,800,84,reference_fold_convolution_rf,0,48,0,1,True,1d4ec075e86f013d,20260829,2333387887
correction_audit,null,1,200,32,current_hybrid_intercept,0,48,0,1,True,1d4ec075e86f013d,20260829,3640352843
correction_audit,null,1,200,32,current_hybrid_logit,0,48,0,1,True,1d4ec075e86f013d,20260829,3640352843
correction_audit,null,1,200,32,current_hybrid_logit_clip01,0,48,0,1,True,1d4ec075e86f013d,20260829,3640352843
correction_audit,null,1,200,32,current_hybrid_logit_clip05,0,48,0,1,True,1d4ec075e86f013d,20260829,3640352843
correction_audit,null,1,200,32,current_hybrid_rf,0,48,0,1,True,1d4ec075e86f013d,20260829,3640352843
correction_audit,null,1,200,32,oracle_current_hybrid,0,48,0,1,False,1d4ec075e86f013d,20260829,3640352843
correction_audit,null,1,200,32,oracle_reference_fold_convolution,0,48,0,1,False,1d4ec075e86f013d,20260829,3640352843
correction_audit,null,1,200,32,raw_structured,0,48,0,1,True,1d4ec075e86f013d,20260829,3640352843
correction_audit,null,1,200,32,reference_fold_convolution_intercept,0,48,0,1,True,1d4ec075e86f013d,20260829,3640352843
correction_audit,null,1,200,32,reference_fold_convolution_logit,0,48,0,1,True,1d4ec075e86f013d,20260829,3640352843
correction_audit,null,1,200,32,reference_fold_convolution_rf,0,48,0,1,True,1d4ec075e86f013d,20260829,3640352843
correction_audit,null,1,200,80,current_hybrid_intercept,0,48,0,1,True,1d4ec075e86f013d,20260829,1420254698
correction_audit,null,1,200,80,current_hybrid_logit,0,48,0,1,True,1d4ec075e86f013d,20260829,1420254698
correction_audit,null,1,200,80,current_hybrid_logit_clip01,0,48,0,1,True,1d4ec075e86f013d,20260829,1420254698
correction_audit,null,1,200,80,current_hybrid_logit_clip05,0,48,0,1,True,1d4ec075e86f013d,20260829,1420254698
correction_audit,null,1,200,80,current_hybrid_rf,0,48,0,1,True,1d4ec075e86f013d,20260829,1420254698
correction_audit,null,1,200,80,oracle_current_hybrid,0,48,0,1,False,1d4ec075e86f013d,20260829,1420254698
