estimand_type,estimand_id,g,t,k,method,post_mean,sd,q025,q05,q95,q975,p_bayes,true,setting,rep,spec,sigma2_shape,sigma2_rate,N,linearity_degree,dgp,method_version,smoke_only,method_label
PRE_SUB,X2=high_k=-4,,,-4.0,pretrend,-0.8002310429066251,0.3531470894860256,-1.3369611201201703,-1.3228428610896636,-0.43237297716482825,-0.4155413644706839,0.0,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUB,X2=high_k=-3,,,-3.0,pretrend,-0.670480612280292,0.2276149599538345,-0.9895838495124192,-0.9764991232058672,-0.43237297716482825,-0.4155413644706839,0.0,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUB,X2=high_k=-2,,,-2.0,pretrend,-0.5999069342246846,0.21232507363880476,-0.9162124417670657,-0.9045261723240285,-0.35099829410721295,-0.3381529016577787,0.0,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUBC,X1_k=-4,,,-4.0,pretrend,-0.3380230295797564,0.384645377063321,-0.9283425250053197,-0.8911582801806459,3.913536161803672e-16,5.564992910933598e-16,0.125,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUBC,X1_k=-3,,,-3.0,pretrend,-0.3380230295797561,0.38464537706332097,-0.9283425250053197,-0.8911582801806458,3.913536161803672e-16,5.564992910933598e-16,0.125,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUBC,X1_k=-2,,,-2.0,pretrend,-0.007559359950439971,0.02138109872954472,-0.049891775672904495,-0.0393086717422885,6.63358257213531e-16,6.925016116099415e-16,0.5,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUBC,X1_slope,,,,pretrend,0.12126246484637294,0.1369358682356642,-2.384996961828684e-16,-1.677229783630147e-16,0.3182708143502306,0.33155090178761415,0.125,0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUBC,X1_any,,,,pretrend,,,,,,,0.125,0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUBC,X1_any_bonf,,,,pretrend,,,,,,,0.375,0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUBC,X2_k=-4,,,-4.0,pretrend,-0.12797207710997094,0.13216602956683712,-0.3415924502174986,-0.32033562281386224,2.553512956637859e-16,2.942091015256665e-16,0.25,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUBC,X2_k=-3,,,-3.0,pretrend,-0.1279720771099708,0.1321660295668373,-0.34159245021749857,-0.3203356228138622,4.052314039881821e-16,4.246603069191224e-16,0.375,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUBC,X2_k=-2,,,-2.0,pretrend,-0.045356159702641834,0.12828659237727238,-0.29935065403743644,-0.23585203045373798,4.052314039881821e-16,4.246603069191224e-16,0.375,-0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUBC,X2_slope,,,,pretrend,0.04894403894660687,0.054158872785018894,-1.2608961493957135e-16,-1.0943626957019401e-16,0.13125215318021774,0.14337949322320925,0.25,0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUBC,X2_any,,,,pretrend,,,,,,,0.25,0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
PRE_SUBC,X2_any_bonf,,,,pretrend,,,,,,,0.75,0.0,PT_hold,0,pretrend_unit,2.0,1.0,200,1,canonical,0.2.0-proper-ig,True,DiD-BCF diagnostic
